Visit Number ,Positive culture,sex,Age ,BW,Color,Clarity ,USG,ph,Protein,Glucose,Ketones,Bilirubin,Hemoprotein,Lipid Layer,WBC,RBC
3870BO,0,4,13.2,7.5,Yellow,Hazy,1.035,6,75,0,0,0,0,Not Present,0,0
50690EM,0,2,9.3,5.4,Yellow,Clear,1.013,6,75,1000,150,0,25,Not Present,0,2
3999BO,0,4,16.4,5.5,Straw,Hazy,1.031,6,0,1000,0,0,0,Not Present,0,0
50719EM,0,4,21.4,3.5,Straw,Sl Hazy,1.011,6,25,50,0,0,150,Not Present,2,0
4316BO,0,4,5.4,6,Yellow,Hazy,1.059,6,25,0,0,0,0,Not Present,0,0
4351BO,0,4,15.4,4.7,Yellow,Cloudy,1.026,5,150,0,0,1,250,Not Present,2,100
4413BO,0,2,9.4,4.9,Yellow,Hazy,1.023,6,25,0,0,0,50,Not Present,2,20
50822EM,0,4,17.4,4.5,Yellow,Clear,1.015,7,25,50,0,0,0,Not Present,0,0
50852EM,0,2,2.5,6.7,Yellow,Clear,1.024,7,25,100,0,0,50,Not Present,2,4
4957BO,0,2,10.5,4.1,yellow/brown,Cloudy,1.013,7,25,0,0,0,250,Not Present,2,100
5098BO,0,4,10.1,4.1,Straw,Hazy,1.011,7,0,0,0,0,25,Not Present,0,10
50889EM,1,4,13.4,3.1,Yellow,Hazy,1.038,6,150,0,0,0,150,Not Present,20,50
5260BO,0,2,3.2,7,Yellow,Sl Hazy,1.052,6,25,0,0,0,0,Not Present,2,2
50909EM,0,1,13.2,3.9,Yellow,Hazy,1.031,7,75,0,0,0,0,Not Present,3,0
5615BO,0,4,14.4,3.6,Red,Cloudy,1.027,6,75,0,0,0,250,Not Present,0,100
342657M,0,2,14.4,,Straw,Clear,1.01,6,25,0,0,0,150,Not Present,0,0
5781BO,0,2,3.4,4.8,Yellow,Clear,1.056,7,25,0,0,0,0,Not Present,0,0
5809BO,0,2,1.1,4.7,Yellow,Sl Hazy,1.06,7,25,0,0,0,50,Not Present,0,25
5810BO,0,2,10.6,4.2,Yellow,Hazy,1.024,7,75,0,0,0,250,Not Present,2,30
6026BO,0,4,13.7,3.7,Yellow,Hazy,1.022,6,25,0,0,0,250,Not Present,1,30
51045EM,0,4,12.4,3.7,Yellow,Cloudy,1.031,6,150,0,0,0,10,Present,0,0
51049EM,0,4,3.4,,Yellow,Cloudy,1.045,8,25,0,0,0,150,Present,4,100
51090EMDIA,0,4,0,6.2,Straw,Sl Hazy,1.013,6,25,0,0,0,250,Present,6,10
6709BO,0,4,5.4,4.5,Straw,Clear,1.013,5,75,50,0,0,250,Not Present,2,3
51130EM,0,2,4.4,5.1,Yellow,Hazy,1.016,8,0,1000,5,3,10,Not Present,1,2
7244BO,0,2,18.5,5.9,Straw,Clear,1.012,5,0,0,0,0,50,Not Present,0,0
7677BO,0,4,18.5,5,brown,Cloudy,1.008,7,500,50,0,0,250,Present,2,100
7787BO,0,2,11.5,6.9,Yellow,Cloudy,1.029,6,75,0,0,0,0,Flocculent,0,0
344005M,0,2,10.5,,Yellow,Hazy,1.049,6,25,0,0,0,50,Not Present,0,2
51325EM,0,2,8.5,6.3,Straw,Sl Hazy,1.013,7,25,0,0,0,250,Not Present,2,100
8081BO,1,4,18,3.3,Yellow,Hazy,1.01,5,75,0,0,0,50,Not Present,100,5
8732BO,0,2,12.5,3.8,Straw,Sl Hazy,1.014,6,0,0,0,0,0,Not Present,4,6
8969BO,0,2,11.5,6.3,Yellow,Hazy,1.034,6,75,1000,0,0,0,Flocculent,0,0
9031BO,0,4,4.5,6.8,Yellow,Sl Hazy,1.057,6,25,0,0,0,0,Present,0,0
9079BO,0,2,9.5,6.2,Straw,Clear,1.035,7,0,1000,0,0,25,Not Present,1,1
9230BO,0,4,14.5,,Straw,Cloudy,1.018,6,0,0,0,0,25,Present,0,2
9437BO,0,2,17.5,3.6,Straw,Clear,1.014,6,75,0,0,0,250,Not Present,4,50
51599EM,0,2,17.5,,Yellow,Hazy,1.019,6,25,0,0,0,25,Present,1,1
51603EM,0,2,4.5,6.5,Red,Cloudy,1.013,7,150,0,0,0,250,Not Present,2,100
9922BO,0,4,13.6,4.9,Yellow,Hazy,1.044,6,25,50,0,0,0,Flocculent,0,0
51665EM,0,2,9.5,2.7,Straw,Clear,1.011,6,75,0,0,0,250,Not Present,2,7
51720EM,1,4,11.5,4.4,Yellow,Hazy,1.023,6,75,50,0,0,250,Not Present,2,100
407BP,0,4,16.4,3.5,Straw,Clear,1.012,6,0,0,0,0,250,Not Present,2,20
676BP,0,4,13.6,5.7,Yellow,Cloudy,1.031,7,25,0,0,0,0,Flocculent,0,0
940BP,0,2,9.2,5.7,Yellow,Hazy,1.066,7,75,0,0,0,0,Flocculent,0,0
1106BP,0,4,13.6,2.5,Red,Clear,1.008,7,75,50,0,0,250,Not Present,5,50
1313BP,0,4,8.6,,Yellow,Clear,1.055,6,25,0,0,0,250,Not Present,5,100
51876EM,0,2,16.3,5.8,Yellow,Hazy,1.043,7,25,1000,0,0,250,Present,0,100
1631BP,1,2,7.2,8.3,Straw,Cloudy,1.023,6,150,1000,0,0,250,Not Present,100,15
